
                       mean       std    median      2.5%     97.5%     n_eff     r_hat
covariance_1[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
covariance_1[0,1]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_1[0,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_1[0,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_1[0,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_1[1,0]     -0.63      0.07     -0.63     -0.75     -0.50   1865.79      1.00
covariance_1[1,1]      0.77      0.05      0.77      0.67      0.87   1872.88      1.00
covariance_1[1,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_1[1,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_1[1,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_1[2,0]     -0.50      0.05     -0.50     -0.59     -0.39   2119.89      1.00
covariance_1[2,1]      0.77      0.03      0.77      0.71      0.82   2283.91      1.00
covariance_1[2,2]      0.40      0.02      0.39      0.35      0.44   2209.09      1.00
covariance_1[2,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_1[2,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_1[3,0]     -0.45      0.04     -0.45     -0.52     -0.37   2015.19      1.00
covariance_1[3,1]      0.68      0.02      0.68      0.64      0.73   2084.20      1.00
covariance_1[3,2]      0.52      0.02      0.51      0.48      0.55   2979.02      1.00
covariance_1[3,3]      0.25      0.01      0.25      0.24      0.27   3178.17      1.00
covariance_1[3,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_1[4,0]      0.18      0.10      0.19     -0.00      0.37   3642.86      1.00
covariance_1[4,1]     -0.43      0.06     -0.44     -0.56     -0.31   2328.01      1.00
covariance_1[4,2]     -0.30      0.05     -0.30     -0.39     -0.20   2535.19      1.00
covariance_1[4,3]     -0.27      0.04     -0.27     -0.33     -0.20   2147.94      1.00
covariance_1[4,4]      0.77      0.06      0.77      0.65      0.90   1847.00      1.00
covariance_2[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
covariance_2[0,1]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_2[0,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_2[0,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_2[0,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_2[1,0]     -0.01      0.11     -0.01     -0.22      0.21   6626.62      1.00
covariance_2[1,1]      0.99      0.01      1.00      0.98      1.00   1824.83      1.00
covariance_2[1,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_2[1,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_2[1,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_2[2,0]     -0.03      0.11     -0.03     -0.23      0.19   5754.41      1.00
covariance_2[2,1]     -0.15      0.11     -0.15     -0.36      0.06   5932.23      1.00
covariance_2[2,2]      0.98      0.02      0.98      0.93      1.00   3520.80      1.00
covariance_2[2,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_2[2,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_2[3,0]     -0.01      0.11     -0.01     -0.22      0.21   6215.19      1.00
covariance_2[3,1]     -0.15      0.11     -0.15     -0.38      0.05   5636.63      1.00
covariance_2[3,2]     -0.04      0.11     -0.04     -0.25      0.16   6405.23      1.00
covariance_2[3,3]      0.97      0.02      0.97      0.92      1.00   2906.61      1.00
covariance_2[3,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
covariance_2[4,0]      0.10      0.11      0.10     -0.11      0.31   6142.47      1.00
covariance_2[4,1]     -0.02      0.11     -0.02     -0.24      0.20   5656.23      1.00
covariance_2[4,2]      0.10      0.11      0.10     -0.11      0.30   5533.20      1.00
covariance_2[4,3]     -0.04      0.11     -0.04     -0.26      0.17   5407.48      1.00
covariance_2[4,4]      0.96      0.02      0.97      0.92      1.00   2373.46      1.00
          mu[0,0]     -0.04      0.00     -0.04     -0.04     -0.04   7129.96      1.00
          mu[0,1]      0.04      0.00      0.04      0.04      0.05   6249.33      1.00
          mu[0,2]      0.03      0.00      0.03      0.03      0.03   6111.98      1.00
          mu[0,3]      0.06      0.00      0.06      0.05      0.06   6333.66      1.00
          mu[0,4]     -0.00      0.00     -0.00     -0.01     -0.00   4168.34      1.00
          mu[1,0]     -0.00      0.00     -0.00     -0.01      0.00   8454.71      1.00
          mu[1,1]     -0.00      0.00     -0.00     -0.00      0.00   4432.73      1.00
          mu[1,2]     -0.00      0.00     -0.00     -0.00      0.00   3338.63      1.00
          mu[1,3]     -0.00      0.00     -0.00     -0.00      0.00   3829.39      1.00
          mu[1,4]      0.00      0.00      0.00     -0.00      0.00   3157.33      1.00
     sigma[0,0,0]      0.00      0.00      0.00      0.00      0.00   5330.28      1.00
     sigma[0,0,1]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[0,0,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[0,0,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[0,0,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[0,1,0]     -0.00      0.00     -0.00     -0.00     -0.00   1806.63      1.00
     sigma[0,1,1]      0.00      0.00      0.00      0.00      0.00   2662.38      1.00
     sigma[0,1,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[0,1,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[0,1,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[0,2,0]     -0.00      0.00     -0.00     -0.00     -0.00   1944.87      1.00
     sigma[0,2,1]      0.00      0.00      0.00      0.00      0.00   2051.16      1.00
     sigma[0,2,2]      0.00      0.00      0.00      0.00      0.00   2713.70      1.00
     sigma[0,2,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[0,2,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[0,3,0]     -0.00      0.00     -0.00     -0.00     -0.00   1888.66      1.00
     sigma[0,3,1]      0.00      0.00      0.00      0.00      0.00   2178.96      1.00
     sigma[0,3,2]      0.00      0.00      0.00      0.00      0.00   2213.84      1.00
     sigma[0,3,3]      0.00      0.00      0.00      0.00      0.00   2254.37      1.00
     sigma[0,3,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[0,4,0]      0.00      0.00      0.00     -0.00      0.00   3204.23      1.00
     sigma[0,4,1]     -0.00      0.00     -0.00     -0.00     -0.00   1947.21      1.00
     sigma[0,4,2]     -0.00      0.00     -0.00     -0.00     -0.00   1947.47      1.00
     sigma[0,4,3]     -0.00      0.00     -0.00     -0.00     -0.00   1830.22      1.00
     sigma[0,4,4]      0.00      0.00      0.00      0.00      0.00   4057.76      1.00
     sigma[1,0,0]      0.00      0.00      0.00      0.00      0.00   6527.24      1.00
     sigma[1,0,1]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,0,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,0,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,0,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,1,0]     -0.00      0.00     -0.00     -0.00      0.00   6250.12      1.00
     sigma[1,1,1]      0.00      0.00      0.00      0.00      0.00   6252.42      1.00
     sigma[1,1,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,1,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,1,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,2,0]     -0.00      0.00     -0.00     -0.00      0.00   5484.27      1.00
     sigma[1,2,1]     -0.00      0.00     -0.00     -0.00      0.00   5281.19      1.00
